Species,HT,lnHT,Anae_tol,drgt_tol,Sal_tol,Sha_tol,RootMax_ord,seed,lnSeed,Resprout,RMBGuilds_05,Guild25_11_03_16
Piceng,36.57644477,3.599404448,1,2,1,3,3,3.199993584,1.163148805,2,d,a
Pincon,30.17556693,3.407032555,2,2,1,1,3,4.09999178,1.410984969,2,d,a
Psemen,60.96074128,4.110230071,2,2,2,2,3,9.699980552,2.272123881,2,d,a
Artlud,0.65,-0.430782916,2,4,2,1,2,0.109999779,-2.207276918,2,e,b
Potgra,0.731528895,-0.312618558,1,3,1,1,2,0.290999417,-1.234434017,2,e,b
Arcuva,0.152401853,-1.881234476,1,4,3,2,2,19.8999601,2.990717727,2,f,b
Arttri,1.5,0.405465108,1,4,4,1,3,0.499998998,-0.693149186,2,f,b
Juncom,3.048037064,1.114497798,1,4,3,1,3,27.89994406,3.328624684,2,f,b
Picpun,30.48037064,3.417082891,1,3,2,2,2,4.399991178,1.481602536,2,h,b
Clelig,0.304803706,-1.188087295,1,3,2,2,1,2.619994747,0.963172313,1,b,c
Pyrasa,0.304803706,-1.188087295,2,3,3,3,1,0.001,-6.907755279,1,b,c
Ribaur,3.048037064,1.114497798,1,3,1,2,1,1.669996652,0.512821621,1,b,c
Rubida,1.828822238,0.603672174,2,4,1,3,1,1.899996191,0.641851881,1,b,c
Rubpar,1.219214826,0.198207066,2,3,1,2,1,0.999997995,-2.00E-06,1,b,c
Vacsco,0.609607413,-0.494940115,1,3,1,3,1,1.838996313,0.609219941,1,b,c
Aceneg,18.28822238,2.906257267,3,4,3,3,3,36,3.583518938,1,b,d
Artcan,1.524018532,0.421350617,1,4,2,1,3,0.680047976,-0.38559193,1,b,d
Mahrep,0.609607413,-0.494940115,1,4,2,3,3,7.682384597,2.038929993,1,b,d
Purtri,1.828822238,0.603672174,2,4,1,2,3,23.82995222,3.170943286,1,b,d
Roswoo,0.914411119,-0.089475006,1,3,2,2,3,9.439981073,2.244953975,1,b,d
Vacces,0.45720556,-0.782622187,1,3,1,3,3,0.085583396,-2.458263984,1,b,d
Popang,18.28822238,2.906257267,3,2,3,1,2,0.453592,-0.790557163,1,a,e
Poptre,19.81224092,2.986299975,2,2,3,1,3,0.0999998,-2.302587098,1,a,e
Pruvir,7.62009266,2.03078853,3,3,3,1,3,81.0998374,4.395680956,1,a,e
Salexi,2.5,0.916290732,4,2,1,1,3,0.0499999,-2.995734279,1,a,e
Salpla,2.438429651,0.891354247,3,2,1,1,2,0.18,-1.714798428,1,a,e
Betgla,0.914411119,-0.089475006,2,2,1,2,3,0.18,-1.714798428,1,b,e
POTDIV,0.914411119,-0.089475006,3,2,1,2,1,0.106999785,-2.234928449,2,k,e
Ribine,2.438429651,0.891354247,3,2,1,3,2,1.559996872,0.444683816,1,a,f
Riblac,0.914411119,-0.089475006,2,2,1,3,2,0.919998155,-0.083383614,2,g,f
Alninc,6.096074128,1.807644978,4,2,1,2,2,0.614998767,-0.486135016,1,a,g
Amealn,4.572055596,1.519962906,1,2,2,2,3,5.899988171,1.774950346,1,b,g
Equarv,0.274323336,-1.293447811,3,1,1,2,3,0.0000098,-11.53312817,2,c,i
Elygla,1.005852231,0.005835173,4,4,3,3,2,4.00999196,1.388789236,2,j,i
Equhye,0.6096,-0.494952275,4,2,2,3,2,0.0000098,-11.53312817,2,j,i
Corser,3.657644477,1.296819355,4,2,1,1,1,25.19955556,3.226826358,2,a,j
Agrsto,0.609607413,-0.494940115,4,2,4,1,1,0.06999986,-2.659262042,2,i3,k
Calrub,0.914411119,-0.089475006,4,2,1,3,1,0.171425548,-1.763606229,2,i3,k
Caraqu,0.883930749,-0.123376558,4,2,1,1,1,0.489999018,-0.713351893,2,i3,k
Carutr,1.066812972,0.064675673,4,2,2,1,1,0.986998021,-0.013087245,2,i3,k
Elepal,0.396244818,-0.925723031,4,2,2,1,1,0.749998496,-0.287684077,2,i3,k
Phaaru,1.524018532,0.421350617,4,2,3,1,2,0.699998597,-0.356676949,2,i3,k
Polamp,0.030480371,-3.490672388,4,1,1,1,2,0.665998665,-0.406467613,2,i3,k
Polbis,0.45720556,-0.782622187,3,1,1,1,1,0.970998053,-0.029430816,2,i3,k
Polviv,0.304803706,-1.188087295,2,1,3,1,1,3.628736,1.288884378,2,i3,k
Scimic,1.676420385,0.516660797,4,1,1,1,1,0.122999753,-2.095572929,2,i3,k
Trirep,0.152401853,-1.881234476,3,2,2,1,1,0.699998597,-0.356676949,2,i3,k
Antcor,0.304803706,-1.188087295,3,2,1,3,1,0.066999866,-2.703064665,2,i3,k
Carpra,0.609607413,-0.494940115,4,2,1,2,1,0.557998881,-0.583398322,2,i3,k
Dodpul,0.609607413,-0.494940115,4,2,1,2,1,0.3989992,-0.918795867,2,i3,k
Galtr2,0.243842965,-1.411230846,4,1,1,2,1,0.512998971,-0.667481439,2,i3,k
Junarc,0.6,-0.510825624,4,2,3,2,1,0.057,-2.864704011,2,i3,k
Junens,0.609607413,-0.494940115,4,2,3,2,1,0.020999958,-3.863234846,2,i3,k
Menarv,0.792489637,-0.23257585,3,2,1,2,1,0.199999599,-1.609439917,2,i3,k
Mimgut,0.762009266,-0.271796563,3,1,1,3,1,0.01999996,-3.91202501,2,i3,k
Parfim,0.365764448,-1.005765738,4,1,2,2,1,0.040999918,-3.194185217,2,i3,k
Poapal,1.219214826,0.198207066,3,2,2,2,1,0.182999633,-1.698271131,2,i3,k
Rancym,0.304803706,-1.188087295,3,2,3,3,1,0.061999876,-2.780622899,2,i3,k
Sentri,1.219214826,0.198207066,4,2,1,2,1,0.703998589,-0.350978928,2,i3,k
Spirom,0.762009266,-0.271796563,4,1,1,2,1,0.412356364,-0.885867343,2,i3,k
Verana,0.5,-0.693147181,4,1,1,2,1,0.0694,-2.667868411,2,i3,k
Calcan,1.493538161,0.40114791,4,2,1,1,1,0.299999399,-1.203974809,2,k,k
Chaang,1.676420385,0.516660797,4,2,1,2,2,0.069783385,-2.66235934,2,k,k
Elyrep,0.792489637,-0.23257585,2,2,1,1,1,4.036991906,1.395499837,2,k,k
Luzpar,0.609607413,-0.494940115,3,2,1,3,1,0.248999501,-1.390304387,2,k,k
Pergai,1.219214826,0.198207066,2,2,1,3,1,1.169997654,0.157001744,2,k,k
Eriumb,0.304803706,-1.188087295,1,4,4,1,2,2.370995246,0.863309802,1,b,l
Solgig,2.499390393,0.916046859,2,3,1,2,3,0.219999559,-1.514129738,2,d,m
Achlet,0.609607413,-0.494940115,1,4,1,1,2,2.015964444,0.701097713,2,e,m
Agogla,0.304803706,-1.188087295,1,3,1,1,2,1.533996924,0.427876698,2,e,m
Elytra,0.914411119,-0.089475006,2,4,3,1,1,3.599992782,1.280931841,2,e,m
Fesari,0.609607413,-0.494940115,1,3,1,1,2,0.753998488,-0.282364916,2,e,m
Medlup,0.609607413,-0.494940115,1,1,2,1,2,1.599996792,0.470001624,2,e,m
Penryd,0.914411119,-0.089475006,1,2,1,1,2,0.093599812,-2.3687269,2,e,m
Poafen,0.609607413,-0.494940115,1,4,1,1,1,0.745998504,-0.293031684,2,e,m
Broine,0.762009266,-0.271796563,2,3,3,1,3,2.899994186,1.064708732,2,f,m
CARGEY,0.45720556,-0.782622187,1,4,1,2,3,4.962713348,1.601952637,2,f,m
Cirarv,0,-1.188,1,3,3,1,3,1.3,0.262364264,1,f,m
HELUNI,0.609607413,-0.494940115,1,4,1,2,3,3.95999206,1.37624202,2,f,m
Luparg,0.45720556,-0.782622187,1,3,1,1,3,3.599936508,1.280916209,2,f,m
Lupcau,1.524018532,0.421350617,1,3,1,1,3,25.19955556,3.226826358,2,f,m
Passmi,0.609607413,-0.494940115,3,4,4,1,3,3.984469431,1.382404162,2,f,m
Solcan,1.066812972,0.064675673,3,3,1,1,3,0.0999998,-2.302587098,2,f,m
Taroff,0.152401853,-1.881234476,1,3,1,2,3,0.599998797,-0.510827629,2,f,m
Tradub,0.914411119,-0.089475006,1,4,1,1,3,9.99997995,2.302583088,2,f,m
Vicame,0.396244818,-0.925723031,1,4,1,1,3,16.80496631,2.821674456,2,f,m
Arncor,0.45720556,-0.782622187,1,2,1,3,2,1.157997678,0.146692374,2,g,m
Dacglo,0.914411119,-0.089475006,2,3,3,3,2,0.799998396,-0.223145556,2,g,m
ELYCAN,0.914411119,-0.089475006,2,3,3,3,2,4.499990978,1.504075392,2,g,m
Gerric,0.914411119,-0.089475006,2,2,1,2,2,4.178591622,1.429974257,2,g,m
Muhrac,0.914411119,-0.089475006,2,2,2,3,2,0.282084577,-1.265548334,2,g,m
Phlpra,0.914411119,-0.089475006,2,2,2,2,2,0.399999198,-0.916292737,2,g,m
Plamaj,0.091441112,-2.392060099,2,3,2,2,2,0.199999599,-1.609439917,2,g,m
Achmil,0.914411119,-0.089475006,1,3,2,2,1,0.261999475,-1.33941278,2,h,m
Anamar,0.914411119,-0.089475006,1,3,1,2,1,0.08999982,-2.407947614,2,h,m
Galbor,0.914411119,-0.089475006,1,3,1,2,1,0.600998795,-0.509162349,2,h,m
Leuvul,0.396244818,-0.925723031,1,3,1,2,1,0.419999158,-0.867502573,2,h,m
Melbul,0.548646672,-0.60030063,1,4,2,2,1,2.26796,0.818880749,2,h,m
Poacom,0.609607413,-0.494940115,1,3,1,3,1,0.199999599,-1.609439917,2,h,m
Poasec,0.426725189,-0.851615058,1,4,2,2,1,0.499998998,-0.693149186,2,h,m
Poapra,0.45720556,-0.782622187,2,2,2,1,1,0.299999399,-1.203974809,2,k,m
Fesida,0.609607413,-0.494940115,2,2,1,2,1,1.149997694,0.139759937,2,k,m
Mercil,0.609607413,-0.494940115,3,2,1,2,1,2.289995409,0.828549813,2,k,m
Phlalp,0.426725189,-0.851615058,2,2,1,2,1,0.379999238,-0.967586031,2,k,m
